"Notes"	"State"	"State Code"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2010"	"2010"	152	54571	278.5	234.3	322.8	22.6
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2011"	"2011"	160	55267	289.5	244.6	334.4	22.9
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2012"	"2012"	161	55514	290.0	245.2	334.8	22.9
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2013"	"2013"	174	55246	315.0	268.2	361.8	23.9
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2014"	"2014"	153	55395	276.2	232.4	320.0	22.3
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2015"	"2015"	150	55347	271.0	227.6	314.4	22.1
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2016"	"2016"	160	55416	288.7	244.0	333.5	22.8
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2017"	"2017"	164	55504	295.5	250.3	340.7	23.1
	"Alabama"	"01"	"Autauga County, AL"	"01001"	"2018"	"2018"	162	55601	291.4	246.5	336.2	22.9
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2010"	"2010"	619	182265	339.6	312.9	366.4	13.7
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2011"	"2011"	637	186717	341.2	314.7	367.7	13.5
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2012"	"2012"	581	190790	304.5	279.8	329.3	12.6
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2013"	"2013"	688	195540	351.8	325.6	378.1	13.4
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2014"	"2014"	605	200111	302.3	278.2	326.4	12.3
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2015"	"2015"	666	203709	326.9	302.1	351.8	12.7
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2016"	"2016"	636	208563	304.9	281.2	328.6	12.1
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2017"	"2017"	728	212628	342.4	317.5	367.3	12.7
	"Alabama"	"01"	"Baldwin County, AL"	"01003"	"2018"	"2018"	753	218022	345.4	320.7	370.0	12.6
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2010"	"2010"	116	27457	422.5	345.6	499.4	39.2
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2011"	"2011"	127	27119	468.3	386.9	549.8	41.6
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2012"	"2012"	89	27201	327.2	262.8	402.6	34.7
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2013"	"2013"	113	27076	417.3	340.4	494.3	39.3
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2014"	"2014"	106	26887	394.2	319.2	469.3	38.3
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2015"	"2015"	111	26489	419.0	341.1	497.0	39.8
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2016"	"2016"	90	25965	346.6	278.7	426.1	36.5
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2017"	"2017"	113	25270	447.2	364.7	529.6	42.1
	"Alabama"	"01"	"Barbour County, AL"	"01005"	"2018"	"2018"	123	24881	494.4	407.0	581.7	44.6
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2010"	"2010"	80	22915	349.1	276.8	434.5	39.0
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2011"	"2011"	93	22766	408.5	329.7	500.4	42.4
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2012"	"2012"	94	22597	416.0	336.2	509.1	42.9
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2013"	"2013"	74	22512	328.7	258.1	412.7	38.2
	"Alabama"	"01"	"Bibb County, AL"	"01007"	"2014"	"2014"	76	22506	337.7	266.1	422.7	38.7
